ticker,sucesso,erro,preco_atual,valor_combinado,desconto_percentual,divergencia_percentual_metodos,metodos_utilizados,graham_valor_justo,bazin_preco_teto,bazin_razao_dividendos_percentual,fcd_valor_justo,ano_referencia_fcd,data_balanco_fundamentus,beta_utilizado,aviso_desconto_extremo
VALE3,True,,71.4800033569336,19.882945973002133,-72.18390453380766,79.49616171581242,"graham,fcd",48.29487550455017,,,-8.528983558545903,2025.0,2026-06-30,0.8623116883740648,
EGIE3,True,,29.34000015258789,8.15205767088018,-72.21520917353799,156.1696655443856,"graham,bazin,fcd",25.841826560829634,18.592700000000004,58.98655572558157,-19.978353548189094,2025.0,2026-06-30,0.9385725271302113,
CSMG3,True,,56.529998779296875,14.38902081355267,-74.54622125549666,131.709419565594,"graham,bazin,fcd",42.20094785665365,33.22050000000001,87.26991400548954,-32.25438541599565,2025.0,2026-06-30,0.88592958626816,
USIM5,True,,7.050000190734863,0.8687008933430738,-87.67800184623081,,fcd,,,,0.8687008933430738,2025.0,2026-06-30,0.9068741967614886,
ENEV3,True,,27.780000686645508,0.4558700031412144,-98.35899930931117,74.85330970637999,"graham,fcd",10.852994978345839,,,-9.94125497206341,2025.0,2026-06-30,1.1225704062329658,
SMFT3,True,,17.040000915527344,-0.05599731771204297,-100.32862273886978,184.8411128747466,"graham,fcd",15.692466345351836,,,-15.804460980775922,2025.0,2026-06-30,1.2633387188562315,"Valor justo zero ou negativo — o FCD saiu negativo, o que acontece quando o fluxo de caixa projetado é negativo ou quando a dívida líquida supera o valor desse fluxo. Não quer dizer que a ação valha menos que zero, mas indica que, pelas premissas do modelo, a geração de caixa não sustenta o preço atual. Confira o endividamento em 'Saúde financeira'."
SBSP3,True,,26.790000915527344,-0.5191049547967097,-101.93768173593394,195.32738763146273,"graham,fcd",25.644999512575545,,,-26.683209422168964,2025.0,2026-06-30,1.1104353814548777,"Valor justo zero ou negativo — o FCD saiu negativo, o que acontece quando o fluxo de caixa projetado é negativo ou quando a dívida líquida supera o valor desse fluxo. Não quer dizer que a ação valha menos que zero, mas indica que, pelas premissas do modelo, a geração de caixa não sustenta o preço atual. Confira o endividamento em 'Saúde financeira'."
EQTL3,True,,40.0,-8.073876136004992,-120.18469034001247,134.53067846207554,"graham,fcd",18.83225955641011,,,-34.980011828420096,2025.0,2026-06-30,1.183639927384864,"Valor justo zero ou negativo — o FCD saiu negativo, o que acontece quando o fluxo de caixa projetado é negativo ou quando a dívida líquida supera o valor desse fluxo. Não quer dizer que a ação valha menos que zero, mas indica que, pelas premissas do modelo, a geração de caixa não sustenta o preço atual. Confira o endividamento em 'Saúde financeira'."
NATU3,True,,7.650000095367432,-2.5108668262383955,-132.8217881691124,,fcd,,,,-2.5108668262383955,2025.0,2026-06-30,1.155576887552311,"Valor justo zero ou negativo — o FCD saiu negativo, o que acontece quando o fluxo de caixa projetado é negativo ou quando a dívida líquida supera o valor desse fluxo. Não quer dizer que a ação valha menos que zero, mas indica que, pelas premissas do modelo, a geração de caixa não sustenta o preço atual. Confira o endividamento em 'Saúde financeira'."
MBRF3,True,,16.979999542236328,-5.85201430820908,-134.46416057699344,150.75543415084255,"graham,fcd",6.947121706145647,,,-18.651150322563808,2025.0,2026-06-30,0.977846406335276,"Valor justo zero ou negativo — o FCD saiu negativo, o que acontece quando o fluxo de caixa projetado é negativo ou quando a dívida líquida supera o valor desse fluxo. Não quer dizer que a ação valha menos que zero, mas indica que, pelas premissas do modelo, a geração de caixa não sustenta o preço atual. Confira o endividamento em 'Saúde financeira'."
PRIO3,True,,60.86000061035156,-45.33291402810062,-174.48720600306734,335.55272985056865,"graham,fcd",56.77578268945308,,,-147.44161074565432,2025.0,2026-06-30,0.17362060588851427,"Valor justo zero ou negativo — o FCD saiu negativo, o que acontece quando o fluxo de caixa projetado é negativo ou quando a dívida líquida supera o valor desse fluxo. Não quer dizer que a ação valha menos que zero, mas indica que, pelas premissas do modelo, a geração de caixa não sustenta o preço atual. Confira o endividamento em 'Saúde financeira'."
BRAV3,True,,17.600000381469727,-13.185369732357401,-174.91687185552396,245.84671854219428,"graham,fcd",8.449141968271098,,,-34.8198814329859,2025.0,2026-06-30,0.5565643391470663,"Valor justo zero ou negativo — o FCD saiu negativo, o que acontece quando o fluxo de caixa projetado é negativo ou quando a dívida líquida supera o valor desse fluxo. Não quer dizer que a ação valha menos que zero, mas indica que, pelas premissas do modelo, a geração de caixa não sustenta o preço atual. Confira o endividamento em 'Saúde financeira'."
VAMO3,True,,3.7899999618530273,-3.494074009243786,-192.19192729319826,547.9170716738838,"graham,bazin,fcd",3.9742923898475313,2.33525,54.33277881830132,-16.79176441757889,2025.0,2026-06-30,2.0896777934489377,"Valor justo zero ou negativo — o FCD saiu negativo, o que acontece quando o fluxo de caixa projetado é negativo ou quando a dívida líquida supera o valor desse fluxo. Não quer dizer que a ação valha menos que zero, mas indica que, pelas premissas do modelo, a geração de caixa não sustenta o preço atual. Confira o endividamento em 'Saúde financeira'."
AURE3,True,,12.569999694824219,-18.569849679890098,-247.7315046199751,,fcd,,,,-18.569849679890098,2025.0,2026-06-30,1.1377902925535315,"Valor justo zero ou negativo — o FCD saiu negativo, o que acontece quando o fluxo de caixa projetado é negativo ou quando a dívida líquida supera o valor desse fluxo. Não quer dizer que a ação valha menos que zero, mas indica que, pelas premissas do modelo, a geração de caixa não sustenta o preço atual. Confira o endividamento em 'Saúde financeira'."
CSNA3,True,,6.050000190734863,-85.58082848893824,-1514.559103981502,,fcd,,,,-85.58082848893824,2025.0,2026-06-30,1.6748025568553775,"Valor justo zero ou negativo — o FCD saiu negativo, o que acontece quando o fluxo de caixa projetado é negativo ou quando a dívida líquida supera o valor desse fluxo. Não quer dizer que a ação valha menos que zero, mas indica que, pelas premissas do modelo, a geração de caixa não sustenta o preço atual. Confira o endividamento em 'Saúde financeira'."
PSSA3,True,,,48.354676245579896,,,"graham,bazin,fcd",56.5557689365108,58.88813333333333,257.8643304831661,29.620126466895552,2025.0,2026-06-30,0.7552834772026926,
TOTS3,True,,,12.848292760761778,,,"graham,bazin,fcd",22.83411920788713,11.333333333333334,151.11111111111111,4.377425741064864,2025.0,2026-06-30,0.8928500022537145,
